customer_id,natural_key,first_name,last_name,email,phone,address_line1,address_line2,city,state_region,postcode,country_code,latitude,longitude,birth_date,join_ts,is_vip,gdpr_consent
1,CUST-]-A9--]-,Jonathan,Baker,jeffrey47@example.net,0483-359-642,Apt. 687 429 Eric Spur,,Yolandaport,NSW,2962,AU,-38.193615,139.572028,1991-08-02,2024-07-11T15:00:27,False,True
2,CUST-9A8[A}9],Lisa,Phillips,yherrera@example.net,+61 472 666 096,98 Mitchell Trailer,,West Erin,TAS,0243,AU,-35.568252,143.281410,1979-02-06,2024-04-12T06:14:10,False,True
3,CUST--{-,Edgar,Brown,bgutierrez@example.net,0450 586 432,486 Destiny Thoroughfare,,East Philipside,QLD,5192,AU,-37.002319,123.891291,1982-06-05,2025-01-04T19:10:11,True,True
4,CUST-8098}ZAZ}A,James,Haney,upark@example.net,+61209758084,5 Ross Freeway,,North Melissaville,WA,2672,AU,-37.914028,128.416024,1961-06-01,2024-07-22T01:30:52,False,True
5,CUST-}]]{8Z-Z}9,Brooke,Rodriguez,marissa84@example.com,3003-1162,Apt. 685 492 Robertson Centre,,St. Peggy,NT,2920,AU,-39.919876,125.109431,2008-10-07,2024-01-10T12:37:08,False,True
6,CUST-8A90998,Christopher,Brewer,williamanderson@example.org,+61.430.906.930,Flat 73 54 Evans Service Way,,West Stacy,VIC,2966,AU,-39.225607,148.859995,2006-01-17,2024-04-14T18:58:30,False,True
7,CUST-{Z{]8,Nicholas,Kramer,vperez@example.net,,,,Derrickfort,SA,2994,AU,-37.681363,112.556904,2007-12-13,2024-11-02T19:22:59,False,True
8,CUST--A09]90-],Kathleen,Shah,tara31@example.net,+61-425-107-529,4 Ramirez Walk,,North Frances,TAS,2610,AU,-43.112625,118.656191,1990-12-14,2024-04-05T20:42:01,True,True
9,CUST-0--{][-}]{,Joseph,Gonzalez,amiller@example.org,4684.9444,Apt. 119 5 Anthony Ridge,,New Dana,WA,6299,AU,-37.593735,123.332971,1993-06-02,2025-01-21T08:53:33,False,True
10,CUST-{A-{Z-,Douglas,Guzman,ruizgregory@example.org,0473-185-174,762 Holmes Route,,South Kelli,NSW,0949,AU,-38.154769,149.922577,1974-08-26,2024-03-22T02:03:29,False,True
11,CUST-9A-,Karen,Montgomery,kimbrian@example.net,+61.7.9848.7826,0 John Circuit,,New Richardside,TAS,2794,AU,-41.076104,115.259433,1981-02-03,2025-01-10T17:32:34,True,True
12,CUST-{[---Z}A,Edward,Peterson,vsteele@example.net,4170-1930,03 Baker Crossroad,,Perryfort,WA,2492,AU,-35.484320,112.816278,1992-05-19,2025-01-26T03:03:19,True,True
13,CUST-}-99]A-0A-,Bradley,Evans,nmoss@example.net,07-6788-2675,Level 1 06 Lopez Crescent,,Rosebury,NT,2918,AU,-42.283803,133.515821,2002-06-19,2024-10-30T07:32:26,False,True
14,CUST-[8Z,Tami,Peters,donaldmacias@example.com,0547.1066,21/167 Tanya Riverway,,Rileyfurt,NT,2907,AU,-36.983471,121.888323,1977-06-30,2024-07-08T11:19:30,False,True
15,CUST-99]-8{9[],Stephanie,Durham,cosborne@example.com,,7 Alicia Concourse,,Lake Jason,ACT,5247,AU,-43.453508,136.256424,2008-05-27,2024-12-27T12:47:26,False,True
16,CUST-0ZA,Raven,Valencia,kristina44@example.org,(03).8862.7243,838/5 Jamie Quadrant,,Bartlettfurt,NSW,5665,AU,-40.201653,142.807877,1963-06-29,2024-09-27T07:45:31,False,True
17,CUST-09[A{A}-9,Jason,Sosa,nathanwoodard@example.net,+61-8-7522-0390,,,Port Isaiah,NSW,2470,AU,-40.942369,124.455193,1963-02-07,2024-05-31T20:06:42,False,False
18,CUST-0}[A--9}{,Kathleen,Miller,fryemeagan@example.org,+61 8 3430 3299,4 Ethan Retreat,,East Dorothy,QLD,8907,AU,-43.856853,128.389882,1988-12-23,2024-01-17T05:24:44,False,True
19,CUST-0{]9Z,Chelsea,Kelly,vickie60@example.net,+61-7-8897-8005,96 Howard Way,,Taylorhaven,SA,2949,AU,-36.248738,142.348711,1962-02-10,2024-10-01T21:13:18,False,True
20,CUST-08AAA-8A,Jessica,Winters,vincentedwards@example.com,0428.669.269,Apt. 471 1 Fowler Interchange,,New Rachelburgh,SA,2998,AU,-41.429764,114.941552,1994-01-21,2025-01-04T15:06:22,False,True
21,CUST-8{A]AZ8{,Jaime,Stevens,reynoldsderek@example.org,+61-8-5676-2828,61/5 Billy Loop,,South Nicholaschester,WA,2980,AU,-39.854996,150.438999,1987-02-04,2024-09-17T22:07:14,False,True
22,CUST--{-{--A89,Andrew,Turner,iwu@example.com,1165 2147,Unit 98 327 Jennifer Gap,,Adamsfurt,TAS,2948,AU,-36.098900,143.505101,1981-05-08,2024-06-25T00:24:09,False,True
23,CUST-}}-A,Jason,Daniels,gentrydennis@example.org,0426.695.104,,,North Sonyaland,WA,2609,AU,-37.966758,140.169731,2004-02-18,2024-08-06T11:10:27,False,True
24,CUST-[Z[-{Z9{{},Jake,Miller,zhopkins@example.net,55548856,Flat 64 136 Ian Outlook,,East Erin,TAS,2738,AU,-39.548529,125.195852,1997-09-27,2024-04-21T04:21:45,True,True
